Serial|Price|Sold.Date|Size|Address
62|1.04M|11/10/14|3 bd, 2.5 ba, 2,031 sqft|1 Chicory Ln # 106, San Carlos, CA
63|1.63M|11/7/14|3 bd, 2 ba, 1,840 sqft|1357 Cedar St, San Carlos, CA
64|1.7M|11/6/14|3 bd, 2 ba, 1,710 sqft|1825 Saint Francis Way, San Carlos, CA
65|610,000|11/6/14|1 bd, 1 ba, 774 sqft|633 Elm St APT 301, San Carlos, CA
66|1.49M|11/6/14|2 bd, 1 ba, 1,100 sqft|271 Elm St, San Carlos, CA
67|1.61M|11/5/14|3 bd, 2 ba, 2,150 sqft|1110 Hudson Ct, San Carlos, CA
68|1.3M|11/5/14|3 bd, 3 ba, 2,020 sqft|309 Portofino Dr, San Carlos, CA
69|2.4M|11/5/14|4 bd, 3.5 ba, 2,720 sqft|1028 Rosewood Ave, San Carlos, CA
70|640,000|11/4/14|2 bd, 2 ba, 1,040 sqft|3338 La Mesa Dr APT 10, San Carlos, CA
71|975,000|11/4/14|2 bd, 2.5 ba, 1,793 sqft|10 Sorrel Ln, San Carlos, CA
72|975,000|11/3/14|2 bd, 3 ba, 1,793 sqft|10 Sorrel Ln, San Carlos, CA
73|1.24M|10/31/14|2 bd, 1 ba, 970 sqft|1528 Cordilleras Ave, San Carlos, CA
74|1.83M|10/31/14|3 bd, 2 ba, 2,040 sqft|3189 La Mesa Dr, San Carlos, CA
75|740,000|10/30/14|2 bd, 1 ba, 814 sqft|950 Cherry St, San Carlos, CA
76|740,000|10/30/14|2 bd, 1 ba, 814 sqft|950 Cherry St, San Carlos, CA
77|1.29M|10/30/14|4 bd, 2.5 ba, 2,700 sqft|1079 Sunset Dr, San Carlos, CA
78|1.01M|10/29/14|2 bd, 3 ba, 1,793 sqft|11 Trillium Ln, San Carlos, CA
79|1.88M|10/28/14|3 bd, 2.5 ba, 2,619 sqft|35 Bay View Dr, San Carlos, CA
80|595,000|10/28/14|2 bd, 2 ba, 1,040 sqft|3318 Brittan Ave APT 3, San Carlos, CA
81|1.56M|10/28/14|3 bd, 3 ba, 1,740 sqft|1081 Hewitt Dr, San Carlos, CA
82|830,000|10/28/14|2 bd, 1 ba, 1,280 sqft|287 G St, Redwood City, CA
83|1.43M|10/24/14|3 bd, 2 ba, 1,320 sqft|419 Emerald Ave, San Carlos, CA
84|1.65M|10/22/14|4 bd, 2.5 ba, 1,980 sqft|2230 Eaton Ave, San Carlos, CA
85|900,000|10/21/14|2 bd, 3 ba, 1,793 sqft|25 Trillium Ln, San Carlos, CA
86|1.45M|10/21/14|3 bd, 2 ba, 1,870 sqft|2651 Eaton Ave, Redwood City, CA
87|1.15M|10/21/14|2 bd, 1 ba, 1,240 sqft|1725 Eaton Ave, San Carlos, CA
88|1.6M|10/21/14|3 bd, 2.5 ba, 1,780 sqft|117 Highland Ave, San Carlos, CA
89|1.2M|10/20/14|3 bd, 3 ba, 1,709 sqft|15 Trillium Ln, San Carlos, CA
90|1.61M|10/20/14|4 bd, 2 ba, 2,160 sqft|808 Bauer Dr, San Carlos, CA
91|2.01M|10/17/14|4 bd, 2 ba, 1,930 sqft|191 Fairmont Ave, San Carlos, CA
92|1.84M|10/17/14|4 bd, 2 ba, 1,850 sqft|109 Wildwood Ave, San Carlos, CA
93|1.9M|10/15/14|5 bd, 4 ba, 3,100 sqft|59 Hilltop Dr, San Carlos, CA
94|1.5M|10/15/14|3 bd, 2 ba, 2,380 sqft|1221 Highland Ct, San Carlos, CA
95|1.57M|10/14/14|3 bd, 2 ba, 1,690 sqft|1700 Greenwood Ave, San Carlos, CA
96|1.07M|10/14/14|3 bd, 2 ba, 1,310 sqft|2565 San Carlos Ave, San Carlos, CA
97|1.25M|10/14/14|2 bd, 3 ba, 2,040 sqft|12 Daffodil Ln, San Carlos, CA
98|1.02M|10/10/14|3 bd, 2 ba, 1,780 sqft|907 Montgomery St, San Carlos, CA
99|750,000|10/9/14|2 bd, 2 ba, 1,180 sqft|1 Elm St APT 202, San Carlos, CA
100|1.35M|10/9/14|3 bd, 2 ba, 1,830 sqft|1605 Vine St, Belmont, CA
101|1.9M|10/9/14|3 bd, 3 ba, 2,128 sqft|1030 Walnut St, San Carlos, CA
102|1.38M|10/8/14|4 bd, 3 ba, 1,830 sqft|75 Bayport Ct, San Carlos, CA
103|1.18M|10/7/14|3 bd, 2 ba, 1,380 sqft|23 Willow Glen Way, San Carlos, CA
104|1.3M|10/7/14|3 bd, 2.5 ba, 2,050 sqft|107 Winding Way, San Carlos, CA
105|1.52M|10/6/14|3 bd, 2.5 ba, 1,970 sqft|460 Phelps Rd, San Carlos, CA
106|1.56M|10/3/14|5 bd, 3 ba, 2,480 sqft|1721 Cedar St, San Carlos, CA
